From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Jury Rank,Televote Rank,Jury Points,Televote Points,Competition
Bulgaria,Armenia,3,1,3,2,3,1,3,12,8,2016Grand
Croatia,Belgium,6,18,18,15,6,12,18,0,0,2016Grand
Croatia,Czech Republic,18,7,2,1,2,2,20,10,0,2016Grand
Croatia,The Netherlands,1,21,13,21,9,14,15,0,0,2016Grand
Croatia,Azerbaijan,17,9,20,9,20,19,14,0,0,2016Grand
Croatia,Hungary,11,15,12,2,3,6,8,5,3,2016Grand
Croatia,Italy,5,3,5,17,16,8,11,3,0,2016Grand
Croatia,Israel,3,8,6,8,12,4,22,7,0,2016Grand
Croatia,Bulgaria,25,16,19,16,15,20,10,0,1,2016Grand
Croatia,Sweden,10,19,7,19,17,18,4,0,7,2016Grand
Croatia,Germany,14,23,25,25,25,24,16,0,0,2016Grand
Croatia,France,2,4,11,10,7,3,9,8,2,2016Grand
Croatia,Poland,16,10,21,18,5,17,7,0,4,2016Grand
Croatia,Australia,4,6,8,4,1,1,6,12,5,2016Grand
Croatia,Cyprus,9,17,10,11,4,10,13,1,0,2016Grand
Croatia,Serbia,12,11,4,7,14,9,1,2,12,2016Grand
Croatia,Lithuania,8,20,14,14,11,15,23,0,0,2016Grand
Croatia,Russia,19,2,3,6,10,5,3,6,8,2016Grand
Croatia,Spain,22,22,22,20,21,22,19,0,0,2016Grand
Croatia,Latvia,23,5,15,5,8,11,17,0,0,2016Grand
Croatia,Ukraine,24,12,1,12,19,16,2,0,10,2016Grand
Croatia,Malta,7,14,16,13,13,13,24,0,0,2016Grand
Croatia,Georgia,21,25,23,24,24,25,21,0,0,2016Grand
Croatia,Austria,20,13,17,22,22,21,5,0,6,2016Grand
Croatia,United Kingdom,13,24,24,23,23,23,25,0,0,2016Grand
Croatia,Armenia,15,1,9,3,18,7,12,4,0,2016Grand
Cyprus,Belgium,16,19,22,22,18,23,17,0,0,2016Grand
Cyprus,Czech Republic,10,13,19,13,8,11,24,0,0,2016Grand
Cyprus,The Netherlands,23,14,18,23,24,24,20,0,0,2016Grand
Cyprus,Azerbaijan,6,8,16,6,22,9,11,2,0,2016Grand
Cyprus,Hungary,19,7,5,15,6,7,7,4,4,2016Grand
Cyprus,Italy,11,10,12,9,11,8,12,3,0,2016Grand
Cyprus,Israel,7,11,6,4,9,6,15,5,0,2016Grand
Cyprus,Bulgaria,15,12,24,21,12,17,1,0,12,2016Grand
Cyprus,Sweden,13,15,7,16,13,14,10,0,1,2016Grand
Cyprus,Germany,9,21,23,17,20,20,22,0,0,2016Grand
Cyprus,France,14,6,2,5,5,4,5,7,6,2016Grand
Cyprus,Poland,24,24,25,25,25,25,9,0,2,2016Grand
Cyprus,Australia,2,3,3,2,3,2,6,10,5,2016Grand
Cyprus,Serbia,5,16,8,24,10,13,16,0,0,2016Grand
Cyprus,Lithuania,18,17,10,3,17,15,8,0,3,2016Grand
Cyprus,Croatia,3,18,15,11,15,10,25,1,0,2016Grand
Cyprus,Russia,1,1,1,1,1,1,2,12,10,2016Grand
Cyprus,Spain,21,23,9,14,14,16,21,0,0,2016Grand
Cyprus,Latvia,20,5,13,18,7,12,14,0,0,2016Grand
Cyprus,Ukraine,22,4,20,19,19,18,4,0,7,2016Grand
Cyprus,Malta,8,9,4,7,4,5,18,6,0,2016Grand
Cyprus,Georgia,25,22,14,12,21,22,23,0,0,2016Grand
Cyprus,Austria,17,25,21,10,16,19,13,0,0,2016Grand
Cyprus,United Kingdom,12,20,17,20,23,21,19,0,0,2016Grand
Cyprus,Armenia,4,2,11,8,2,3,3,8,8,2016Grand
Czech Republic,Belgium,13,8,6,12,14,9,20,2,0,2016Grand
Czech Republic,The Netherlands,2,6,3,7,6,4,18,7,0,2016Grand
Czech Republic,Azerbaijan,20,12,12,17,16,17,5,0,6,2016Grand
Czech Republic,Hungary,4,2,2,6,2,2,8,10,3,2016Grand
Czech Republic,Italy,9,20,19,8,18,16,22,0,0,2016Grand
Czech Republic,Israel,14,23,17,23,23,21,16,0,0,2016Grand
Czech Republic,Bulgaria,21,7,18,11,11,14,6,0,5,2016Grand
Czech Republic,Sweden,1,1,1,1,1,1,9,12,2,2016Grand
Czech Republic,Germany,24,22,23,16,20,22,19,0,0,2016Grand
Czech Republic,France,7,13,4,5,4,6,11,5,0,2016Grand
